model,outcome,term,coefficient,std_error_hac24,t_value,p_value_hac24,ci_low,ci_high,n,r_squared
price_volatility_baseline,price_volatility_24h,C(day_of_week)[T.2],3.692115120262467,2.2842150739344134,1.6163605443260807,0.10601638372242697,-0.7848641575924802,8.169094398117414,229,0.6247805338743737
price_volatility_baseline,price_volatility_24h,C(day_of_week)[T.3],-13.168774371595177,3.849844523039966,-3.420599011930142,0.0006248338630791792,-20.714330982832294,-5.623217760358061,229,0.6247805338743737
price_volatility_baseline,price_volatility_24h,C(day_of_week)[T.4],-8.062963775909092,3.3226361752951616,-2.426676696010158,0.015237828135036735,-14.575211013217523,-1.5507165386006614,229,0.6247805338743737
price_volatility_baseline,price_volatility_24h,C(day_of_week)[T.5],-5.143454893115052,3.285019368045711,-1.5657304620931176,0.11741173166729602,-11.581974543001174,1.2950647567710698,229,0.6247805338743737
price_volatility_baseline,price_volatility_24h,C(day_of_week)[T.6],-3.6869704018397615,4.263672858575236,-0.8647404536265975,0.3871812605436764,-12.043615646508165,4.669674842828641,229,0.6247805338743737
price_volatility_baseline,price_volatility_24h,z_temperature_absolute_error,4.57672846653995,1.1017847641046519,4.15392244987083,3.268239788811291e-05,2.4172700101798728,6.736186922900027,229,0.6247805338743737
price_volatility_baseline,price_volatility_24h,z_wind_speed_absolute_error,-0.7723744324513909,0.537572130882548,-1.4367828763432382,0.15077969744961725,-1.8259964480736373,0.2812475831708553,229,0.6247805338743737
price_volatility_baseline,price_volatility_24h,z_shortwave_radiation_absolute_error,0.4291718191662686,0.7149010888627099,0.6003233536110715,0.5482907576499546,-0.9720085675131116,1.8303522058456487,229,0.6247805338743737
price_volatility_baseline,price_volatility_24h,z_precipitation_absolute_error,0.62152952054521,0.5304585083656373,1.1716835732547035,0.24132412052410201,-0.41815005114427817,1.6612090922346983,229,0.6247805338743737
price_volatility_baseline,price_volatility_24h,z_load_forecast_error_mw,0.7791871724140996,1.0283203164755235,0.7577280735682579,0.44861378905004357,-1.2362836124487568,2.7946579572769563,229,0.6247805338743737
price_volatility_baseline,price_volatility_24h,z_solar_forecast_error_mw,1.3287382513337482,1.1137746211603325,1.19300460442299,0.2328675697844086,-0.8542198930352465,3.511696395702743,229,0.6247805338743737
price_volatility_baseline,price_volatility_24h,z_wind_onshore_forecast_error_mw,3.074400809343603,0.6670843896982139,4.608713465374971,4.051682518119721e-06,1.7669394308862214,4.3818621878009845,229,0.6247805338743737
price_volatility_baseline,price_volatility_24h,z_actual_residual_load,2.2249943563424828,2.5686993899588413,0.8661949175680438,0.3863832800489718,-2.8095639350868535,7.2595526477718195,229,0.6247805338743737
negative_price_lpm,negative_price_flag,Intercept,0.05193219741306454,0.04312066430864802,1.2043459498060036,0.2284558935744876,-0.03258275162132733,0.13644714644745642,239,0.6456064316978192
negative_price_lpm,negative_price_flag,C(hour_utc)[T.1],0.026794792697800544,0.01904738839737023,1.4067436510876188,0.15950341694599124,-0.010537402560591207,0.06412698795619229,239,0.6456064316978192
negative_price_lpm,negative_price_flag,C(hour_utc)[T.2],0.056559996011330355,0.024960936337750653,2.2659404777932797,0.02345502785027563,0.007637459768941958,0.10548253225371876,239,0.6456064316978192
negative_price_lpm,negative_price_flag,C(hour_utc)[T.3],0.07215176522462513,0.03196524318189541,2.257194316153074,0.02399593542890305,0.009501039831045596,0.13480249061820465,239,0.6456064316978192
negative_price_lpm,negative_price_flag,C(hour_utc)[T.4],0.07332996178067423,0.03986881260181138,1.8392813077493708,0.06587382092009376,-0.004811475025252726,0.1514713985866012,239,0.6456064316978192
negative_price_lpm,negative_price_flag,C(hour_utc)[T.5],0.030929075088564864,0.047747919039360404,0.6477575507127099,0.5171417748447944,-0.06265512656531587,0.1245132767424456,239,0.6456064316978192
negative_price_lpm,negative_price_flag,C(hour_utc)[T.6],0.026442767173755967,0.06631154414287922,0.398765667660832,0.6900658765078708,-0.10352547110552529,0.1564110054530372,239,0.6456064316978192
negative_price_lpm,negative_price_flag,C(hour_utc)[T.7],-0.05992660828933222,0.08293553988014614,-0.7225684956767008,0.4699450294126798,-0.222477279492804,0.10262406291413956,239,0.6456064316978192
negative_price_lpm,negative_price_flag,C(hour_utc)[T.8],-0.03235607679385144,0.05547645908244685,-0.5832397620360946,0.5597319074208564,-0.14108793858525723,0.07637578499755435,239,0.6456064316978192
negative_price_lpm,negative_price_flag,C(hour_utc)[T.9],-0.16866333740174883,0.054270700663620476,-3.107815733707851,0.0018847554186052014,-0.275031956118199,-0.06229471868529868,239,0.6456064316978192
negative_price_lpm,negative_price_flag,C(hour_utc)[T.10],-0.09130221370600229,0.10726290156855789,-0.8512002973147784,0.3946580976871392,-0.30153363765764063,0.11892921024563603,239,0.6456064316978192
negative_price_lpm,negative_price_flag,C(hour_utc)[T.11],-0.08863779406019966,0.10727449324206939,-0.8262709184762566,0.40865042653253825,-0.2988919372744411,0.12161634915404178,239,0.6456064316978192
negative_price_lpm,negative_price_flag,C(hour_utc)[T.12],-0.11037719735926997,0.1195151508912672,-0.9235414634558695,0.3557251029211458,-0.3446225887130238,0.12386819399448389,239,0.6456064316978192
negative_price_lpm,negative_price_flag,C(hour_utc)[T.13],-0.017012809326505812,0.10310657875021782,-0.16500217088688796,0.8689422733579939,-0.2190979902460756,0.18507237159306397,239,0.6456064316978192
negative_price_lpm,negative_price_flag,C(hour_utc)[T.14],-0.0071253942820835026,0.11553479585398338,-0.06167314556117628,0.9508231259850757,-0.23356943311707848,0.21931864455291147,239,0.6456064316978192
negative_price_lpm,negative_price_flag,C(hour_utc)[T.15],-0.03841352829602182,0.13067851345038664,-0.29395443276607125,0.7687927231737142,-0.29453870821201267,0.21771165161996905,239,0.6456064316978192
negative_price_lpm,negative_price_flag,C(hour_utc)[T.16],-0.10446089761484395,0.07163656196539672,-1.458206462578462,0.1447836430176739,-0.2448659790432934,0.03594418381360551,239,0.6456064316978192
negative_price_lpm,negative_price_flag,C(hour_utc)[T.17],-0.06028075103117729,0.06977588843390663,-0.8639195054933144,0.3876321108709616,-0.19703897935091919,0.07647747728856462,239,0.6456064316978192
negative_price_lpm,negative_price_flag,C(hour_utc)[T.18],0.03791208348020363,0.059356553341428996,0.6387177379071671,0.5230065713471237,-0.0784246233154278,0.15424879027583507,239,0.6456064316978192
negative_price_lpm,negative_price_flag,C(hour_utc)[T.19],0.06594579134223286,0.048939470572861465,1.3474970319519957,0.17782020870042003,-0.029973808403033417,0.16186539108749914,239,0.6456064316978192
negative_price_lpm,negative_price_flag,C(hour_utc)[T.20],0.027048499746513008,0.045855255388771686,0.5898669523741485,0.5552798516484118,-0.06282614931736573,0.11692314881039174,239,0.6456064316978192
negative_price_lpm,negative_price_flag,C(hour_utc)[T.21],0.017260614784913763,0.03887856159674546,0.44396227833590063,0.6570698565406945,-0.05893996571542939,0.09346119528525693,239,0.6456064316978192
negative_price_lpm,negative_price_flag,C(hour_utc)[T.22],0.0019187799894212127,0.039237618995115305,0.04890153986306055,0.9609977616989451,-0.07498554008010949,0.0788231000589519,239,0.6456064316978192
negative_price_lpm,negative_price_flag,C(hour_utc)[T.23],0.0003066146093665108,0.03973626454146243,0.007716241395730006,0.9938433912174521,-0.07757503277205585,0.07818826199078888,239,0.6456064316978192
negative_price_lpm,negative_price_flag,C(day_of_week)[T.1],0.10154328069026566,0.049378513959955225,2.0564264200541715,0.03974143185519051,0.00476317171864514,0.19832338966188617,239,0.6456064316978192
